country,suicides_no,population,suicides/100k pop
Albania,1970,2709802.913043478,924.76
Antigua and Barbuda,11,66340.93333333333,179.14
Argentina,82219,34532847.7,3894.59
Armenia,1905,2974929.730769231,976.21
Aruba,101,78729.8125,1596.52
Australia,70111,18079259.533333335,4677.41
Austria,50073,7866228.838709678,9076.23
Azerbaijan,1656,6575900.0,356.24
Bahamas,93,234180.2857142857,344.28
Bahrain,463,577721.5862068966,467.24
Barbados,177,221917.5357142857,891.13
Belarus,59892,8223845.5,7831.13
Belgium,62761,10110087.366666667,7900.5
Belize,348,216862.58620689655,2093.49
Bosnia and Herzegovina,318,2442493.6666666665,110.81
Brazil,226613,161869784.93333334,2174.72
Bulgaria,36388,7997929.586206896,7016.08
Canada,107561,29501863.67857143,4338.72
Chile,40895,14254169.733333332,3921.64
Colombia,53080,36931398.86666667,2009.39
Costa Rica,6792,3523337.5172413792,2553.72
Croatia,18429,4368111.952380952,5982.84
Cuba,41418,10947397.086956521,6111.95
Cyprus,412,682791.8823529412,586.26
Czech Republic,43687,10157943.846153846,5952.99
Denmark,15297,5342010.428571428,3721.65
Dominica,0,inf,0.0
Ecuador,20660,11477599.666666666,2345.21
El Salvador,11683,5195154.083333333,3035.94
Estonia,7034,1354540.5,6873.78
Fiji,304,744308.2727272727,673.86
Finland,33677,5068773.5,7924.11
France,329127,57612302.5862069,7803.25
Georgia,3224,3743952.0,1116.38
Germany,291262,80995024.48,4854.69
Greece,12368,10536536.833333334,1512.12
Grenada,38,75718.90322580645,661.0
Guatemala,8149,10529580.586206896,1146.7
Guyana,3426,663783.56,6655.92
Hungary,73891,9945770.24,10156.07
Iceland,1108,271222.70967741933,4889.74
Ireland,12574,3759437.4482758623,3881.73
Israel,11294,5769059.6,3329.97
Italy,132060,57168123.46666667,3168.87
Jamaica,184,1518531.423076923,106.44
Japan,806902,122700828.13333334,8025.23
Kazakhstan,101546,15100554.76,9519.52
Kiribati,53,74160.6,878.51
Kuwait,966,1969310.0344827587,355.93
Kyrgyzstan,13090,4606967.48,4457.3
Latvia,12770,2242632.0,7373.35
Lithuania,28039,3242152.8571428573,10588.88
Luxembourg,1958,431771.86666666664,6156.56
Macau,27,inf,171.74
Maldives,20,263658.7272727273,164.07999999999998
Malta,585,374246.76666666666,1872.01
Mauritius,3894,1077803.5161290322,4464.58
Mexico,111139,92431971.96666667,1751.19
Mongolia,423,inf,184.39
Montenegro,472,648318.1111111111,1194.03
Netherlands,50833,15334234.483870968,4066.52
New Zealand,14383,3681801.0714285714,5008.32
Nicaragua,2013,6348526.6,472.82
Norway,16992,4412865.068965517,4658.76
Oman,33,1797417.4,26.5
Panama,3483,2342188.6333333333,1744.06
Paraguay,4783,4297998.931034483,1366.37
Philippines,21330,56056219.94736842,435.83
Poland,139098,34647201.16,4397.62
Portugal,24061,9008924.689655172,3673.36
Puerto Rico,9043,3512887.5,3789.28
Qatar,574,1041454.5238095238,318.15
Romania,72777,21298739.37037037,4171.55
Saint Kitts and Nevis,0,58650.0,0.0
Saint Lucia,230,139661.42857142858,2420.12
San Marino,4,13137.5,145.62
Serbia,24179,7420008.117647059,4787.45
Seychelles,98,46427.2,1615.7
Singapore,10089,3141414.7,6340.98
Slovakia,13437,5083350.590909091,3318.16
Slovenia,10615,2013430.95,7012.62
South Africa,7321,45954250.631578945,231.49
Spain,100202,40922036.5,3509.06
Sri Lanka,55641,8691696.476190476,4658.96
Suriname,2166,401354.1034482759,7162.32
Sweden,37795,8734383.827586208,5247.72
Switzerland,26217,7499700.5,4794.07
Thailand,110643,51122589.70967742,2362.67
Trinidad and Tobago,4039,1201657.576923077,4479.51
Turkey,10131,80440097.0,199.17
Turkmenistan,8624,4127743.5,2994.73
Ukraine,319950,45945328.0,8931.66
United Arab Emirates,622,7300455.0,94.89
United Kingdom,136805,57958926.0,2790.92
United States,1034013,268467573.3666667,5140.97
Uruguay,13138,2802298.1,6538.96
Uzbekistan,34803,20267605.5,2138.17
